GCAS,Total_MSU_Forecast,Avg_MSU_Forecast,Forecast_Periods,Product_Description,Subsector_Name,Total_IT_Forecast,Avg_IT_Forecast,Total_CS_Forecast,Avg_CS_Forecast
80864073,534030.028,5562.8127917,96,H&S SH 1200MLX10 ISC HYPE CP KR,Hair Care,1144170.2,11918.4395833,114417.4,1191.8479167
80831265,475280.317,5002.9507053,95,DOWNY FBEN ROMANCE  8.5LX1 P2 KR,Fabric Care,377986.4,3978.8042105,377986.4,3978.8042105
80825390,397460.467,4140.2131979,96,DOWNY LFE (1.05LX3)X4 BTL MYS M2 KR,Fabric Care,852965.1,8885.053125,213241.7,2221.2677083
80779373,387445.43,4035.8898958,96,H&S SHM UCM 1800ML DIT,Hair Care,553401.7,5764.6010417,92233.7,960.7677083
80864070,368701.676,3840.6424583,96,H&S SH 1200MLX10 CM HYPE CP KR,Hair Care,789950.0,8228.6458333,78995.4,822.86875
80841663,367638.668,3829.5694583,96,DOWNY LFE (1.05LX3)X4 BTL IDD gre H1 KR,Fabric Care,788966.6,8218.4020833,197241.9,2054.603125
80841651,363635.038,3787.8649792,96,DOWNY LFE 2.6LX6 RFL IDD gre H1 KR,Fabric Care,945448.2,9848.41875,157574.8,1641.4041667
80864075,331502.704,3453.1531667,96,H&S SH 850MLX12 ISC HYPE KR,Hair Care,1002705.9,10444.853125,83559.5,870.4114583
80793381,329565.426,3506.0151702,94,H&S SH 850MLX6 ISC DIT KR (CP),Hair Care,996819.2,10604.4595745,166137.2,1767.4170213
80812509,325940.053,3395.2088854,96,DOWNY LFE (1.05LX3)X4 BTL WT&L P3 KR,Fabric Care,699479.9,7286.2489583,174870.0,1821.5625
80854627,311991.202,3284.1179158,95,DOWNY LFE 4LX3 BTL IDD gre H1 KR COSTCO,Fabric Care,527279.4,5550.3094737,175760.0,1850.1052632
80841656,292297.467,3044.7652812,96,DOWNY LFE 1LX12 SBTL IDD gre H1 KR,Fabric Care,1975985.0,20583.1770833,164664.6,1715.25625
80864076,278219.455,2898.1193229,96,H&S SH 850MLX12 CM HYPE KR,Hair Care,841538.0,8766.0208333,70128.1,730.5010417
80793379,270318.669,2906.6523548,93,H&S SH 850MLX6 CM DIT KR (CP),Hair Care,817620.6,8791.6193548,136270.2,1465.2709677
80825394,266175.535,2772.6618229,96,DOWNY LFE 1LX12 SBTL MYS M2 KR,Fabric Care,1799395.0,18743.6979167,149948.8,1561.9666667
80861956,257547.384,2682.78525,96,DOWNY LFE 4.1LX4 RFL MYS N1 KR,Fabric Care,424644.9,4423.384375,106161.5,1105.8489583
80854870,238166.736,3841.3989677,62,PAMPERS DPR XL 40X3 POOBAO KR XQ,Baby Care,1071696.9,17285.433871,357232.5,5761.8145161
80812511,221359.353,2305.8265938,96,DOWNY LFE 1LX12 BTL LG&L P3 KR,Fabric Care,1496429.5,15587.8072917,124702.9,1298.9885417
80854871,213833.125,3448.921371,62,PAMPERS DPR XXL 36X3 POOBAO KR XQ,Baby Care,1069165.8,17244.6096774,356388.7,5748.2048387
80841643,202098.513,2105.1928438,96,DOWNY LFE 4.1LX4 RFL IDD gre H1 KR,Fabric Care,333221.0,3471.0520833,83305.5,867.765625
80812507,188023.497,1958.5780938,96,DOWNY LFE 1LX12 BTL WT&L P3 KR,Fabric Care,1271074.1,13240.3552083,105922.7,1103.3614583
80793501,179753.16,1872.42875,96,PTN SH 1200MLX6 SDC ATTN EMART KR,Hair Care,385116.9,4011.634375,64185.8,668.6020833
80799839,178693.306,1861.3886042,96,PTN ROT (400MLX3)X14 SDC ATTN COSTCO,Hair Care,382852.3,3988.0447917,27346.6,284.8604167
80864074,174561.098,1818.3447708,96,H&S SH 1200MLX10 DEEPCLEAN HYPE CP KR,Hair Care,374000.5,3895.8385417,37399.8,389.58125
80838173,171874.258,1909.7139778,90,FUSION PROSHIELDE BASE CRT 4 4X6X12,Shave Care,644447.4,7160.5266667,8950.6,99.4511111
80874132,170967.709,1899.6412111,90,GILLETTE PROSHIELD BASE 4CT 4X6X12 (PX),Shave Care,641049.2,7122.7688889,8903.6,98.9288889
80864067,160196.286,1668.7113125,96,H&S SH 850MLX12 DEEPCLEAN HYPE KR,Hair Care,484549.7,5047.3927083,40380.0,420.625
80807863,153869.009,1602.8021771,96,PAMPERS DPR XL 26X4 ML KR OVN5.0 VAL,Baby Care,1065206.2,11095.8979167,266301.4,2773.9729167
80873240,152644.892,2091.0259178,73,PAMPERS DPR XL 36X4 POOBAO KR PANTS CBY,Baby Care,763224.8,10455.1342466,190806.8,2613.7917808
80831266,152034.023,1600.3581368,95,DOWNY FBEN AR FLORAL 8.5LX1 P2 KR,Fabric Care,120911.1,1272.7484211,120911.1,1272.7484211
80793378,151097.116,1607.4161277,94,H&S SH 850MLX6 DEEP CLEAN DIT KR (CP),Hair Care,457016.2,4861.8744681,76170.4,810.3234043
80864068,149370.054,1555.9380625,96,H&S SH 1200MLX10 APPLE HYPE CP KR,Hair Care,320028.5,3333.6302083,32003.0,333.3645833
80861955,148544.778,1547.3414375,96,DOWNY LFE 2.6LX6 RFL MYS N1 KR,Fabric Care,386215.0,4023.0729167,64369.7,670.5177083
80833958,144425.0,1504.4270833,96,DOWNY LFE 4.1LX4 RFL LG&L KR New,Fabric Care,238129.1,2480.5114583,59532.0,620.125
80864069,138714.171,1444.9392812,96,H&S SH 850MLX12 APPLE HYPE KR,Hair Care,419572.1,4370.5427083,34964.9,364.2177083
80841664,135335.217,1409.7418438,96,DOWNY LFE 2LX4 SBTL IDD gre H1 KR,Fabric Care,457445.7,4765.059375,114361.4,1191.2645833
80838170,133352.873,1481.6985889,90,FUSION PROSHIELDE BASE CRT 8 8X6X12,Shave Care,250052.9,2778.3655556,3474.3,38.6033333
80871606,132036.051,1419.7424839,93,GIL PS YELLOW 14CT 1X18 KR COSTCO,Shave Care,141471.4,1521.1978495,7860.2,84.5182796
80812506,129854.381,1352.6498021,96,DOWNY LFE 1LX12 BTL MB P3 KR,Fabric Care,877840.0,9144.1666667,73152.4,762.0041667
80693699,123920.322,1332.4765806,93,BII PLUS DIS 11 SENST 11X6X8,Shave Care,450619.8,4845.3741935,9388.1,100.9473118
80825393,122874.758,1279.9453958,96,DOWNY LFE 2LX4 SBTL MYS M2 KR,Fabric Care,415327.6,4326.3291667,103832.0,1081.5833333
80873239,122469.838,1677.6690137,73,PAMPERS DPR XXL 30X4 POOBAO KR PANT CBY,Baby Care,734782.2,10065.509589,183695.5,2516.3767123
80869235,118364.94,1286.5754348,92,PTN SH 1800MLX9 SDC ATTN CP KR,Hair Care,169063.7,1837.648913,18785.2,204.1869565
80807864,116881.828,1217.5190417,96,PAMPERS DPR XXL22X4 ML KR OVN5.0 VAL,Baby Care,956088.2,9959.2520833,239022.2,2489.8145833
80831279,111582.445,1162.3171354,96,DOWNY LFE 2.6LX6 WT&L RFL P2 KR,Fabric Care,290113.1,3022.0114583,48351.6,503.6625
80869236,111539.733,1174.1024526,95,PTN CN 1800MLX9 SDC ATTN CP KR,Hair Care,159314.8,1676.9978947,17702.4,186.3410526
80812512,111222.061,1158.5631354,96,DOWNY LFE (1.05LX3)X4 BTL MB P3 KR,Fabric Care,238686.7,2486.3197917,59672.0,621.5833333
80739987,110134.138,1147.2306042,96,BRAUN MALHRREMKP CCR5+1 MIX BOX KR,Appliances,183557.2,1912.0541667,45888.4,478.0041667
80795548,109262.219,1138.1481146,96,PAMPERS DPR XXL 30X4 BP3.0 KR PANT CBY,Baby Care,655540.2,6828.54375,163885.3,1707.1385417
80854872,108880.422,1756.1358387,62,PAMPERS DPR LG 46X3 POOBAO KR XQ,Baby Care,426035.6,6871.5419355,142011.9,2290.5145161
80793500,106242.939,1106.6972812,96,PTN CN 1200MLX6 SDC ATTN EMART KR,Hair Care,227623.2,2371.075,37937.1,395.178125
80864072,104001.123,1083.3450313,96,H&S CN 850MLX12 CM HYPE KR,Hair Care,314575.0,3276.8229167,26214.6,273.06875
80864065,101525.132,1057.5534583,96,H&S CN 850MLX12 ISC HYPE KR,Hair Care,307085.6,3198.8083333,25590.5,266.5677083
80832699,100415.274,2049.2913061,49,DOWNY LAU LIQ 3LX4 BTL IDD gre J2 KR,Fabric Care,217561.2,4440.0244898,54389.7,1109.9938776
80833957,100119.054,1042.9068125,96,DOWNY LFE 4.1LX4 RFL WT&L KR New,Fabric Care,165077.3,1719.5552083,41269.4,429.8895833
80843757,99202.278,1033.3570625,96,DOWNY LFE 2.6LX6 RFL CP M2A KR,Fabric Care,257925.2,2686.7208333,42987.6,447.7875
80812508,97707.822,1017.7898125,96,DOWNY LFE (1.05LX3)X4 BTL LG&L P3 KR,Fabric Care,209684.4,2184.2125,52421.3,546.0552083
80709741,96891.914,1041.8485376,93,VENUS CMFTGLIDE WHITE TEA RZR 2UP 1X4X4,Shave Care,363299.2,3906.4430108,22706.2,244.1526882
80795552,95979.775,1170.485061,82,PAMPERS DPR XL 36X4 BP3.0 KR PANTS CBY,Baby Care,479898.9,5852.4256098,119975.1,1463.1109756
80831288,94063.177,979.8247604,96,DOWNY LFE 2.6LX6 LG&L RFL P2 KR,Fabric Care,244563.3,2547.534375,40760.7,424.590625
81726689,91476.505,952.8802604,96,BRAUN SHAVER 300 BLK/BLK BOX KR,Appliances,91476.4,952.8791667,15246.1,158.8135417
80830240,90135.578,1453.7996452,62,PAM S5 ToN SUM25 38x3 KR PANTS CBY (SS),Baby Care,426980.1,6886.7758065,142327.1,2295.5983871
80872038,89737.226,1043.4561163,86,DOWNY FBEN HP GRN 480GX6 BL BTL P2 KR,Fabric Care,853015.4,9918.7837209,142169.4,1653.1325581
80848825,89539.633,2131.8960238,42,SK2 SP RNW CREAM DUO SET TR CN,Skin Care,83948.9,1998.7833333,6995.3,166.5547619
80777271,88992.384,1412.5775238,63,OB ESS F WXD 2X50 M BCD 1X6X4,Oral Care,801011.4,12714.4666667,33375.8,529.7746032
80729883,88446.415,921.3168229,96,FEBREZE FR 370MLX12 MILD ARM BTL BB,Home Care,1912355.0,19920.3645833,159362.9,1660.0302083
80826675,87981.412,916.4730417,96,H&S SH 1800MLX6 ISC HYPE ET KR,Hair Care,125666.3,1309.0239583,20943.7,218.1635417
80882576,87866.57,976.2952222,90,DOWNY LFE 1.6LX9 RFL LG&L P2 KR,Fabric Care,371232.2,4124.8022222,41248.0,458.3111111
80793497,85681.6,892.5166667,96,PTN SH 750MLX6 SDC ATTN EOL KR,Hair Care,293714.9,3059.5302083,48953.8,509.9354167
80777259,83827.778,873.2060208,96,OB ESS F WXD 50 M MNT BCD 1X6X8,Oral Care,1507693.8,15705.14375,31410.3,327.190625
80826691,83603.128,870.8659167,96,H&S SH 800MLX6 PERFUME HYPE KR,Hair Care,268676.1,2798.709375,44779.8,466.45625
80841652,82737.932,861.8534583,96,DOWNY LFE 2.6LX6 RFL IDD pk H1 KR,Fabric Care,215118.2,2240.8145833,35852.8,373.4666667
80842301,82095.957,855.1662188,96,H&S SHM (ISC 850MLX2) Hype CP KR,Hair Care,124154.7,1293.278125,15519.4,161.6604167
80807862,79983.836,975.4126341,82,PAMPERS DPR LG 30X4 ML KR OVN5.0 VAL,Baby Care,479878.9,5852.1817073,119969.5,1463.0426829
80828637,78840.494,847.7472473,93,FUSION CRT 4 4X6X12,Shave Care,295614.4,3178.6494624,4105.7,44.1473118
80691990,75999.929,808.509883,94,FUS HYDRA GEL SHVP 70G SENST 1X90,Shave Care,4062716.9,43220.3925532,45142.8,480.2425532
80787160,75678.079,788.3133229,96,FBRZ AE SPRY 165GX6 L&S BB,Home Care,1513561.9,15766.2697917,252260.1,2627.709375
80774837,75056.758,781.8412292,96,FEBREZE FR 370MLX12 FRSH ARM BTL TW,Home Care,1622849.1,16904.678125,135237.4,1408.7229167
82327914,74681.89,777.9363542,96,FBRZ CARVCLIP 2.2MLX6X2 SKY LIN REG KR,Home Care,1194910.2,12446.98125,99575.3,1037.2427083
80781214,74427.419,907.6514512,82,PAM S5 TON24 40x3 KR PANTS CBY (SS),Baby Care,334906.7,4084.2280488,111635.5,1361.4085366
80873236,73548.335,1007.5114384,73,PAMPERS DPR LG 42X4 POOBAO KR PANTS CBY,Baby Care,315218.6,4318.0630137,78805.1,1079.5219178
80842299,72852.207,758.8771562,96,H&S SHM (PF 800MLX2 + DC 90ML) Hype KR,Hair Care,117062.2,1219.3979167,14632.5,152.421875
80841647,72685.525,757.1408854,96,DOWNY LFE 1LX12 SBTL IDD pk H1 KR,Fabric Care,491367.1,5118.4072917,40947.2,426.5333333
80825347,72599.911,756.2490729,96,DOWNY LFE 1LX12 SBTL CP M2 KR,Fabric Care,490788.8,5112.3833333,40899.4,426.0354167
80862540,70916.405,762.5419892,93,GILLETTE PROGLIDE BASE 4CT 4X6X12 (PX),Shave Care,265903.3,2859.1752688,3692.8,39.7075269
80774835,70455.01,733.9063542,96,FEBREZE FR 320MLX12 FRSH ARM RF TW,Home Care,1761376.3,18347.6697917,146781.5,1528.9739583
80831264,70307.364,732.368375,96,DOWNY LFE 2LX4 SBTL LG&L P2 KR,Fabric Care,237645.6,2475.475,59411.4,618.86875
80840736,69392.298,746.1537419,93,GIL SKINTECH 12CT 12X12X2 KR ECOM,Shave Care,86729.9,932.5795699,3613.7,38.8569892
80861954,69015.631,718.9128229,96,DOWNY LFE 1.35LX10 RFL Mys N1 KR,Fabric Care,345596.7,3599.965625,34559.6,359.9958333
80795549,67937.379,707.6810312,96,PAMPERS DPR LG 42X4 BP3.0 KR PANTS CBY,Baby Care,291170.8,3033.0291667,72793.0,758.2604167
80840587,67241.421,723.0260323,93,GIL PG MNL 14CT 1X18 KR COSTCO,Shave Care,72047.0,774.6989247,4002.6,43.0387097
80793507,66786.42,695.691875,96,PTN CN 750MLX6 SDC ATTN EOL KR,Hair Care,228943.0,2384.8229167,38157.1,397.4697917
80838172,66635.106,694.1156875,96,FUSION PROGLIDE BASE CRT 4 4X6X12,Shave Care,249850.0,2602.6041667,3471.5,36.1614583
